ID_Transacao,Data,Categoria,Descricao,Metodo_Pagamento,Valor
N-0317,2025-06-29 00:00:00,Alimentação,Farmácia Popular,Dinheiro,3512.72
N-0318,2025-10-15 00:00:00,Vestuário,Loja Center,Cartão de débito,2423.24
N-0319,2025-04-11 00:00:00,Vestuário,Academia Fit+,Cartão de crédito,3570.23
N-0320,2025-11-27 00:00:00,Outros,Hortifruti Verde Vida,Cartão de crédito,1380.11
N-0321,2025-09-02 00:00:00,Assinaturas,StreamingFlix,Cartão de crédito,2353.3
N-0322,2025-09-01 00:00:00,Outros,StreamingFlix,Pix,3328.62
N-0323,2025-08-18 00:00:00,Transporte,Farmácia Popular,Dinheiro,1125.4
N-0324,2025-11-01 00:00:00,Serviços,Mercado Bom Preço,Pix,704.31
N-0325,2025-02-13 00:00:00,Assinaturas,Academia Fit+,Boleto,1807.07
N-0326,2025-10-31 00:00:00,Transporte,Mercado Bom Preço,Dinheiro,3550.32
N-0327,2025-04-14 00:00:00,Educação,Farmácia Popular,Cartão de débito,807.81
N-0328,2025-07-11 00:00:00,Alimentação,StreamingFlix,Pix,63.38
N-0329,2025-12-27 00:00:00,Transporte,Delivery Já,Pix,32.26
N-0330,2025-12-04 00:00:00,Assinaturas,Loja Center,Cartão de débito,1452.13
N-0331,2025-12-24 00:00:00,Moradia,Loja Center,Pix,3389.38
N-0332,2025-05-11 00:00:00,Educação,Loja Center,Dinheiro,2021.77
N-0333,2025-02-22 00:00:00,Outros,Oficina do Carro,Pix,1577.28
N-0334,2026-03-17 00:00:00,Assinaturas,Loja Center,Cartão de crédito,3688.89
N-0335,2025-05-12 00:00:00,Alimentação,Mercado Bom Preço,Cartão de crédito,3623.93
S-0336,2025-06-09 00:00:00,Vestuário,Padaria Pão Quente,Pix,26594.6
N-0337,2025-07-20 00:00:00,Transporte,Padaria Pão Quente,Pix,3802.04
N-0338,2025-03-03 00:00:00,Outros,Posto Avenida,Pix,3090.56
N-0339,2025-05-26 00:00:00,Moradia,EletroTech,Pix,1635.95
N-0340,2025-07-03 00:00:00,Assinaturas,Farmácia Popular,Boleto,2495.35
N-0341,2025-06-24 00:00:00,Saúde,Academia Fit+,Cartão de crédito,424.41
N-0342,2026-01-16 00:00:00,Vestuário,Hortifruti Verde Vida,Cartão de débito,888.93
N-0343,2025-03-04 00:00:00,Serviços,Loja Center,Boleto,2356.6
N-0344,2025-03-05 00:00:00,Lazer,Academia Fit+,Dinheiro,1192.72
N-0345,2025-07-24 00:00:00,Alimentação,Hortifruti Verde Vida,Dinheiro,3465.24
N-0346,2025-01-12 00:00:00,Lazer,EletroTech,Pix,263.56
N-0347,2025-04-19 00:00:00,Alimentação,Restaurante Sabor & Arte,Pix,3118.65
N-0348,2025-06-21 00:00:00,Assinaturas,Academia Fit+,Boleto,3372.33
N-0349,2025-03-19 00:00:00,Moradia,Farmácia Popular,Boleto,3534.82
N-0350,2026-03-15 00:00:00,Outros,Delivery Já,Cartão de débito,3801.15
S-0351,2026-03-29 00:00:00,Lazer,Restaurante Sabor & Arte,Pix,22050.43
S-0352,2026-01-10 00:00:00,Serviços,EletroTech,Boleto,36536.8
N-0353,2025-10-20 00:00:00,Educação,Farmácia Popular,Dinheiro,2949.73
N-0354,2025-01-06 00:00:00,Transporte,Farmácia Popular,Cartão de crédito,3225.06
N-0355,2025-07-13 00:00:00,Vestuário,Oficina do Carro,Boleto,3438.34
N-0356,2026-02-21 00:00:00,Lazer,Loja Center,Pix,2691.45
N-0357,2025-08-01 00:00:00,Outros,Livraria Cultura,Cartão de crédito,1067.14
N-0358,2025-07-31 00:00:00,Serviços,EletroTech,Dinheiro,988.94
N-0359,2025-02-01 00:00:00,Lazer,Oficina do Carro,Boleto,3735.63
N-0360,2025-11-19 00:00:00,Alimentação,Posto Avenida,Cartão de débito,2224.49
N-0361,2025-07-20 00:00:00,Lazer,Clínica Saúde Total,Cartão de débito,2225.58
N-0362,2026-03-16 00:00:00,Assinaturas,StreamingFlix,Dinheiro,337.84
S-0363,2025-05-30 00:00:00,Lazer,Academia Fit+,Dinheiro,26495.9
N-0364,2026-03-22 00:00:00,Outros,Clínica Saúde Total,Cartão de crédito,2786.37
S-0365,2025-05-25 00:00:00,Assinaturas,Livraria Cultura,Pix,33864.92
S-0366,2025-09-04 00:00:00,Lazer,EletroTech,Dinheiro,34834.45
N-0367,2025-05-26 00:00:00,Alimentação,Restaurante Sabor & Arte,Pix,2461.98
N-0368,2025-03-15 00:00:00,Educação,Posto Avenida,Boleto,538.42
N-0369,2025-07-02 00:00:00,Serviços,Clínica Saúde Total,Pix,3500.85
N-0370,2025-07-21 00:00:00,Transporte,Clínica Saúde Total,Cartão de crédito,1676.37
N-0371,2025-08-27 00:00:00,Moradia,Farmácia Popular,Dinheiro,492.09
N-0372,2025-12-31 00:00:00,Educação,Padaria Pão Quente,Cartão de débito,2521.82
N-0373,2025-05-12 00:00:00,Transporte,Farmácia Popular,Cartão de débito,1278.24
N-0374,2025-06-26 00:00:00,Moradia,EletroTech,Cartão de débito,2732.58
N-0375,2025-09-10 00:00:00,Transporte,Loja Center,Boleto,2982.33
N-0376,2025-03-31 00:00:00,Educação,Oficina do Carro,Cartão de crédito,3191.94
N-0377,2025-06-25 00:00:00,Lazer,EletroTech,Dinheiro,2120.48
N-0378,2025-07-02 00:00:00,Transporte,StreamingFlix,Cartão de crédito,2678.48
N-0379,2025-07-08 00:00:00,Saúde,Clínica Saúde Total,Cartão de débito,3963.7
N-0380,2026-03-31 00:00:00,Outros,StreamingFlix,Boleto,971.38
N-0381,2025-08-29 00:00:00,Saúde,Clínica Saúde Total,Pix,1528.36
N-0382,2025-05-18 00:00:00,Saúde,Clínica Saúde Total,Cartão de débito,2965.41
N-0383,2025-08-22 00:00:00,Transporte,Farmácia Popular,Boleto,3747.97
N-0384,2025-02-26 00:00:00,Alimentação,EletroTech,Cartão de débito,3646.19
N-0385,2025-10-19 00:00:00,Alimentação,Padaria Pão Quente,Pix,2454.48
N-0386,2025-08-23 00:00:00,Lazer,Posto Avenida,Cartão de crédito,3934.51
N-0387,2025-04-18 00:00:00,Outros,Livraria Cultura,Cartão de débito,3920.1
N-0388,2026-01-23 00:00:00,Moradia,Restaurante Sabor & Arte,Dinheiro,1628.14
N-0389,2026-01-17 00:00:00,Lazer,StreamingFlix,Cartão de débito,3063.29
N-0390,2026-01-13 00:00:00,Alimentação,Restaurante Sabor & Arte,Cartão de crédito,989.6
N-0391,2025-08-19 00:00:00,Saúde,Farmácia Popular,Cartão de crédito,2214.52
N-0392,2025-05-29 00:00:00,Assinaturas,Hortifruti Verde Vida,Dinheiro,2989.07
N-0393,2025-01-24 00:00:00,Vestuário,Delivery Já,Dinheiro,3789.06
N-0394,2026-01-22 00:00:00,Outros,Oficina do Carro,Pix,2769.97
N-0395,2026-01-29 00:00:00,Lazer,Farmácia Popular,Dinheiro,2385.69
N-0396,2025-03-23 00:00:00,Educação,Academia Fit+,Dinheiro,3414.56
N-0397,2025-06-04 00:00:00,Alimentação,Restaurante Sabor & Arte,Cartão de débito,1856.75
N-0398,2025-09-03 00:00:00,Moradia,Academia Fit+,Cartão de débito,2819.36
N-0399,2026-02-24 00:00:00,Saúde,Oficina do Carro,Cartão de débito,3787.89
N-0400,2026-02-12 00:00:00,Lazer,Oficina do Carro,Cartão de crédito,3223.03
S-0401,2025-03-14 00:00:00,Assinaturas,Loja Center,Cartão de débito,21635.46
S-0402,2026-02-12 00:00:00,Vestuário,StreamingFlix,Pix,31400.6
N-0403,2025-02-04 00:00:00,Alimentação,Academia Fit+,Cartão de crédito,1145.1
N-0404,2025-02-23 00:00:00,Vestuário,StreamingFlix,Boleto,2872.53
N-0405,2025-03-13 00:00:00,Serviços,Mercado Bom Preço,Dinheiro,793.69
N-0406,2025-08-14 00:00:00,Serviços,Padaria Pão Quente,Cartão de crédito,3799.98
N-0407,2025-06-01 00:00:00,Saúde,Padaria Pão Quente,Boleto,2851.52
N-0408,2025-08-01 00:00:00,Outros,Loja Center,Pix,1700.21
N-0409,2026-02-04 00:00:00,Saúde,Livraria Cultura,Cartão de débito,894.06
N-0410,2025-05-04 00:00:00,Vestuário,Clínica Saúde Total,Cartão de crédito,1537.62
N-0411,2026-01-08 00:00:00,Transporte,Clínica Saúde Total,Cartão de crédito,2773.18
N-0412,2025-06-30 00:00:00,Lazer,Loja Center,Dinheiro,2669.55
N-0413,2026-03-09 00:00:00,Vestuário,StreamingFlix,Dinheiro,3459.08
S-0414,2025-08-20 00:00:00,Serviços,Loja Center,Cartão de crédito,32413.21
N-0415,2026-02-24 00:00:00,Vestuário,Farmácia Popular,Dinheiro,3891.64
N-0416,2025-12-08 00:00:00,Vestuário,Restaurante Sabor & Arte,Cartão de crédito,1456.27
N-0417,2026-02-13 00:00:00,Serviços,Livraria Cultura,Boleto,932.75
S-0418,2025-12-04 00:00:00,Vestuário,EletroTech,Pix,20771.57
N-0419,2025-07-31 00:00:00,Outros,Delivery Já,Cartão de crédito,1723.86
N-0420,2025-05-27 00:00:00,Assinaturas,Livraria Cultura,Dinheiro,3969.52
N-0421,2025-11-27 00:00:00,Assinaturas,Hortifruti Verde Vida,Cartão de crédito,2789.17
N-0422,2026-01-09 00:00:00,Lazer,Padaria Pão Quente,Cartão de crédito,2342.86
N-0423,2025-05-21 00:00:00,Moradia,Academia Fit+,Pix,2444.12
N-0424,2025-06-19 00:00:00,Alimentação,Clínica Saúde Total,Pix,255.18
N-0425,2025-02-11 00:00:00,Outros,Farmácia Popular,Cartão de débito,2569.46
N-0426,2025-01-24 00:00:00,Lazer,Loja Center,Cartão de crédito,1137.27
N-0427,2025-04-15 00:00:00,Serviços,Livraria Cultura,Cartão de débito,67.93
N-0428,2026-01-04 00:00:00,Moradia,Delivery Já,Boleto,1702.67
S-0429,2025-06-10 00:00:00,Lazer,EletroTech,Dinheiro,36068.15
N-0430,2025-10-18 00:00:00,Transporte,EletroTech,Pix,3011.85
N-0431,2026-03-09 00:00:00,Vestuário,Loja Center,Cartão de crédito,2811.73
N-0432,2026-01-31 00:00:00,Outros,Mercado Bom Preço,Boleto,1946.21
N-0433,2026-02-14 00:00:00,Vestuário,EletroTech,Boleto,3798.05
S-0434,2025-07-03 00:00:00,Serviços,Oficina do Carro,Cartão de débito,21326.15
N-0435,2025-01-23 00:00:00,Saúde,Livraria Cultura,Dinheiro,2296.83
N-0436,2025-05-23 00:00:00,Outros,Hortifruti Verde Vida,Boleto,2352.09
N-0437,2025-10-07 00:00:00,Serviços,Posto Avenida,Cartão de crédito,2543.32
N-0438,2025-07-31 00:00:00,Educação,Restaurante Sabor & Arte,Cartão de débito,655.69
N-0439,2025-09-24 00:00:00,Vestuário,Oficina do Carro,Dinheiro,600.6
N-0440,2025-06-05 00:00:00,Outros,Farmácia Popular,Cartão de débito,2910.5
N-0441,2026-02-09 00:00:00,Alimentação,EletroTech,Dinheiro,2825.8
S-0442,2025-02-10 00:00:00,Serviços,Posto Avenida,Boleto,35824.79
N-0443,2025-08-08 00:00:00,Vestuário,Restaurante Sabor & Arte,Cartão de crédito,1947.8
N-0444,2025-11-11 00:00:00,Assinaturas,EletroTech,Pix,1003.99
N-0445,2025-05-13 00:00:00,Serviços,Livraria Cultura,Cartão de débito,3078.66
N-0446,2025-02-22 00:00:00,Outros,Oficina do Carro,Boleto,1806.5
N-0447,2025-12-06 00:00:00,Serviços,Posto Avenida,Dinheiro,2803.18
N-0448,2025-09-02 00:00:00,Serviços,Oficina do Carro,Dinheiro,3334.98
S-0449,2026-02-28 00:00:00,Outros,Posto Avenida,Cartão de débito,43264.31
N-0450,2025-09-07 00:00:00,Outros,Restaurante Sabor & Arte,Cartão de crédito,1177.12
N-0451,2025-08-24 00:00:00,Outros,Padaria Pão Quente,Boleto,3544.08
N-0452,2025-07-30 00:00:00,Vestuário,Hortifruti Verde Vida,Dinheiro,1447.8
N-0453,2026-01-15 00:00:00,Serviços,Livraria Cultura,Cartão de débito,1324.59
N-0454,2025-11-07 00:00:00,Outros,Oficina do Carro,Cartão de crédito,2212.24
N-0455,2025-01-31 00:00:00,Educação,Posto Avenida,Cartão de crédito,1993.76
N-0456,2025-05-10 00:00:00,Vestuário,Oficina do Carro,Boleto,838.66
N-0457,2025-10-18 00:00:00,Assinaturas,Academia Fit+,Pix,942.14
S-0458,2026-03-24 00:00:00,Educação,Farmácia Popular,Cartão de crédito,40314.99
N-0459,2025-01-30 00:00:00,Moradia,Oficina do Carro,Cartão de crédito,965.12
N-0460,2026-01-10 00:00:00,Alimentação,Academia Fit+,Cartão de crédito,1871.45
N-0461,2025-11-09 00:00:00,Outros,Clínica Saúde Total,Pix,3311.5
S-0462,2025-05-29 00:00:00,Moradia,Farmácia Popular,Boleto,36292.38
N-0463,2025-09-11 00:00:00,Serviços,Posto Avenida,Pix,2649.76
N-0464,2026-01-08 00:00:00,Moradia,Oficina do Carro,Cartão de crédito,2811.04
N-0465,2025-12-17 00:00:00,Transporte,Academia Fit+,Cartão de crédito,1938.27
N-0466,2025-12-19 00:00:00,Educação,StreamingFlix,Cartão de crédito,3264.93
N-0467,2025-05-05 00:00:00,Serviços,Academia Fit+,Cartão de crédito,2473.66
N-0468,2025-08-31 00:00:00,Outros,Clínica Saúde Total,Boleto,432.55
N-0469,2026-03-04 00:00:00,Lazer,Loja Center,Pix,3857.93
N-0470,2026-02-21 00:00:00,Assinaturas,Loja Center,Boleto,3111.58
N-0471,2025-02-05 00:00:00,Assinaturas,Hortifruti Verde Vida,Pix,3029.54
S-0472,2025-12-12 00:00:00,Assinaturas,EletroTech,Dinheiro,35240.6
N-0473,2026-03-14 00:00:00,Assinaturas,Hortifruti Verde Vida,Cartão de crédito,2136.45
N-0474,2026-02-16 00:00:00,Serviços,Farmácia Popular,Cartão de crédito,1148.87
N-0475,2025-07-27 00:00:00,Assinaturas,Loja Center,Dinheiro,2587.21
N-0476,2025-05-08 00:00:00,Serviços,Academia Fit+,Cartão de débito,796.24
N-0477,2025-07-18 00:00:00,Vestuário,Loja Center,Cartão de débito,375.67
N-0478,2025-03-14 00:00:00,Alimentação,Farmácia Popular,Dinheiro,709.29
N-0479,2025-04-07 00:00:00,Moradia,Academia Fit+,Pix,2747.45
N-0480,2025-11-01 00:00:00,Transporte,StreamingFlix,Cartão de crédito,3320.37
N-0481,2026-03-22 00:00:00,Serviços,Delivery Já,Pix,1752.03
N-0482,2025-03-01 00:00:00,Vestuário,EletroTech,Boleto,1151.15
N-0483,2025-10-18 00:00:00,Moradia,EletroTech,Boleto,2705.69
N-0484,2025-05-03 00:00:00,Educação,Posto Avenida,Cartão de crédito,628.13
N-0485,2025-05-09 00:00:00,Assinaturas,Oficina do Carro,Pix,1698.05
N-0486,2025-04-16 00:00:00,Alimentação,Delivery Já,Cartão de débito,646.75
N-0487,2025-12-28 00:00:00,Alimentação,Academia Fit+,Cartão de débito,3305.96
N-0488,2026-02-10 00:00:00,Lazer,Livraria Cultura,Boleto,3046.44
S-0489,2025-08-07 00:00:00,Saúde,Clínica Saúde Total,Boleto,43066.57
N-0490,2026-01-05 00:00:00,Transporte,Restaurante Sabor & Arte,Dinheiro,2276.06
N-0491,2025-09-21 00:00:00,Serviços,Academia Fit+,Cartão de débito,1676.56
N-0492,2026-01-19 00:00:00,Assinaturas,Padaria Pão Quente,Pix,3672.87
N-0493,2025-04-22 00:00:00,Saúde,Clínica Saúde Total,Cartão de débito,2358.87
N-0494,2025-05-05 00:00:00,Transporte,Academia Fit+,Cartão de crédito,398.93
N-0495,2025-01-15 00:00:00,Lazer,Padaria Pão Quente,Cartão de débito,230.66
S-0496,2025-08-02 00:00:00,Assinaturas,Academia Fit+,Boleto,26320.62
N-0497,2025-02-12 00:00:00,Transporte,Hortifruti Verde Vida,Boleto,247.28
N-0498,2025-03-23 00:00:00,Outros,Livraria Cultura,Cartão de crédito,594.06
N-0499,2025-02-10 00:00:00,Lazer,Academia Fit+,Pix,1032.33
N-0500,2026-03-11 00:00:00,Transporte,Hortifruti Verde Vida,Cartão de crédito,2806.37
